PO ID,Supplier ID,Supplier,Category,Region,Buyer,Order Date,Promised Date,Receipt Date,Qty Ordered,Qty Received,Unit Price,Benchmark Price,Defect Qty
PO-0076,SUP-016,Supplier 16,Lighting,Lebanon,Yara,2026-03-06,2026-03-18,2026-03-29,186,173,111.36,111.47,0
PO-0077,SUP-017,Supplier 17,Electrical,Italy,Omar,2026-03-07,2026-04-14,2026-04-09,96,96,14.71,13.37,0
PO-0078,SUP-018,Supplier 18,Controls,Turkey,Lea,2026-02-08,2026-02-23,2026-03-03,49,49,43.72,44.01,0
PO-0079,SUP-019,Supplier 19,Fixtures,China,Yara,2026-01-01,2026-02-19,2026-02-14,245,245,57.83,61.8,0
PO-0080,SUP-020,Supplier 20,Cables,UAE,Omar,2026-04-20,2026-06-06,2026-06-07,269,269,86.41,91.13,5
PO-0081,SUP-001,Supplier 01,Lighting,Lebanon,Lea,2026-02-08,2026-03-11,2026-03-22,40,40,26.78,26,0
PO-0082,SUP-002,Supplier 02,Electrical,Italy,Yara,2026-03-14,2026-05-01,2026-04-30,480,480,127.98,132.84,0
PO-0083,SUP-003,Supplier 03,Controls,Turkey,Omar,2026-01-31,2026-03-06,2026-03-02,49,49,120.79,122.59,0
PO-0084,SUP-004,Supplier 04,Fixtures,China,Lea,2026-04-04,2026-04-23,2026-04-25,127,127,175.93,185.78,0
PO-0085,SUP-005,Supplier 05,Cables,UAE,Yara,2026-06-10,2026-07-26,2026-08-13,166,166,44.3,45.19,0
PO-0086,SUP-006,Supplier 06,Lighting,Lebanon,Omar,2026-01-19,2026-02-05,2026-02-11,408,408,46.05,47.22,0
PO-0087,SUP-007,Supplier 07,Electrical,Italy,Lea,2026-04-16,2026-05-20,2026-05-13,258,234,220.65,214.58,0
PO-0088,SUP-008,Supplier 08,Controls,Turkey,Yara,2026-03-02,2026-03-16,2026-03-11,463,463,83.3,81.58,25
PO-0089,SUP-009,Supplier 09,Fixtures,China,Omar,2026-04-27,2026-06-15,2026-06-16,35,35,63.41,58.82,0
PO-0090,SUP-010,Supplier 10,Cables,UAE,Lea,2026-02-15,2026-04-03,2026-04-05,276,276,13.22,14.03,0
PO-0091,SUP-011,Supplier 11,Lighting,Lebanon,Yara,2026-01-13,2026-01-31,2026-02-10,447,447,37.47,34.88,0
PO-0092,SUP-012,Supplier 12,Electrical,Italy,Omar,2026-05-05,2026-06-17,2026-07-03,192,192,69.25,72.52,0
PO-0093,SUP-013,Supplier 13,Controls,Turkey,Lea,2026-04-20,2026-06-06,2026-06-10,272,272,8.83,9.22,0
PO-0094,SUP-014,Supplier 14,Fixtures,China,Yara,2026-05-05,2026-05-26,2026-05-19,340,340,185.92,174.16,0
PO-0095,SUP-015,Supplier 15,Cables,UAE,Omar,2026-02-07,2026-03-09,2026-03-08,334,334,161.31,153.65,0
PO-0096,SUP-016,Supplier 16,Lighting,Lebanon,Lea,2026-06-09,2026-07-15,2026-07-24,468,468,61.19,61.16,0
PO-0097,SUP-017,Supplier 17,Electrical,Italy,Yara,2026-03-21,2026-05-03,2026-05-06,464,464,156.43,144.47,0
PO-0098,SUP-018,Supplier 18,Controls,Turkey,Omar,2026-05-30,2026-06-18,2026-06-15,129,129,188.27,186.11,0
PO-0099,SUP-019,Supplier 19,Fixtures,China,Lea,2026-02-22,2026-03-27,2026-04-06,145,145,208.82,199.94,2
PO-0100,SUP-020,Supplier 20,Cables,UAE,Yara,2026-02-11,2026-02-28,2026-02-22,402,402,41.63,43.05,0
PO-0101,SUP-001,Supplier 01,Lighting,Lebanon,Omar,2026-01-20,2026-02-10,2026-02-16,255,243,11.83,12.37,0
PO-0102,SUP-002,Supplier 02,Electrical,Italy,Lea,2026-02-04,2026-02-21,2026-02-18,316,316,78.17,77.6,0
PO-0103,SUP-003,Supplier 03,Controls,Turkey,Yara,2026-02-27,2026-03-26,2026-03-23,182,182,16.87,17.2,0
PO-0104,SUP-004,Supplier 04,Fixtures,China,Omar,2026-05-29,2026-07-15,2026-07-09,22,22,48.78,46.75,0
PO-0105,SUP-005,Supplier 05,Cables,UAE,Lea,2026-05-31,2026-07-07,2026-07-01,414,414,225.71,219.82,0
PO-0106,SUP-006,Supplier 06,Lighting,Lebanon,Yara,2026-01-06,2026-01-24,2026-02-09,343,343,186.63,187.66,0
PO-0107,SUP-007,Supplier 07,Electrical,Italy,Omar,2026-01-28,2026-03-09,2026-03-02,487,487,94.18,97.31,0
PO-0108,SUP-008,Supplier 08,Controls,Turkey,Lea,2026-03-17,2026-04-14,2026-04-16,360,360,69.68,67.24,0
PO-0109,SUP-009,Supplier 09,Fixtures,China,Yara,2026-03-08,2026-04-21,2026-04-15,272,272,30.75,32.14,7
PO-0110,SUP-010,Supplier 10,Cables,UAE,Omar,2026-03-13,2026-04-22,2026-04-20,283,283,87.77,88.86,0
PO-0111,SUP-011,Supplier 11,Lighting,Lebanon,Lea,2026-02-25,2026-04-03,2026-04-15,166,166,96.78,91.72,0
PO-0112,SUP-012,Supplier 12,Electrical,Italy,Yara,2026-01-29,2026-03-16,2026-03-21,246,246,133.53,129.27,14
PO-0113,SUP-013,Supplier 13,Controls,Turkey,Omar,2026-01-22,2026-02-26,2026-03-12,130,130,125.59,115.84,0
PO-0114,SUP-014,Supplier 14,Fixtures,China,Lea,2026-05-04,2026-05-23,2026-05-19,281,281,76.8,73.07,0
PO-0115,SUP-015,Supplier 15,Cables,UAE,Yara,2026-04-22,2026-05-05,2026-04-28,306,306,105.37,110.84,0
PO-0116,SUP-016,Supplier 16,Lighting,Lebanon,Omar,2026-01-02,2026-01-14,2026-01-18,464,464,44.48,45.18,0
PO-0117,SUP-017,Supplier 17,Electrical,Italy,Lea,2026-04-20,2026-05-10,2026-05-11,129,126,67.24,69.2,3
PO-0118,SUP-018,Supplier 18,Controls,Turkey,Yara,2026-03-28,2026-04-24,2026-04-19,103,103,138.57,146.89,0
PO-0119,SUP-019,Supplier 19,Fixtures,China,Omar,2026-03-29,2026-04-16,2026-04-12,333,333,18.34,17.82,0
PO-0120,SUP-020,Supplier 20,Cables,UAE,Lea,2026-05-06,2026-06-07,2026-06-24,425,425,53.5,49.66,0
PO-0121,SUP-001,Supplier 01,Lighting,Lebanon,Yara,2026-04-02,2026-05-05,2026-05-14,177,153,8.53,8.71,5
PO-0122,SUP-002,Supplier 02,Electrical,Italy,Omar,2026-06-10,2026-06-28,2026-07-03,470,470,172.06,163.42,0
PO-0123,SUP-003,Supplier 03,Controls,Turkey,Lea,2026-02-28,2026-03-19,2026-03-17,371,316,106.76,97.32,14
PO-0124,SUP-004,Supplier 04,Fixtures,China,Yara,2026-03-23,2026-04-04,2026-04-02,413,413,122.17,117.01,0
PO-0125,SUP-005,Supplier 05,Cables,UAE,Omar,2026-05-16,2026-06-08,2026-06-06,236,216,8.77,8.67,0
PO-0126,SUP-006,Supplier 06,Lighting,Lebanon,Lea,2026-06-09,2026-07-14,2026-07-20,59,59,27.93,29.24,0
PO-0127,SUP-007,Supplier 07,Electrical,Italy,Yara,2026-04-27,2026-06-15,2026-07-05,401,349,38.62,37.08,0
PO-0128,SUP-008,Supplier 08,Controls,Turkey,Omar,2026-05-03,2026-05-31,2026-06-03,360,360,177.47,187.19,5
PO-0129,SUP-009,Supplier 09,Fixtures,China,Lea,2026-01-25,2026-02-27,2026-02-28,414,407,136.07,131.13,0
PO-0130,SUP-010,Supplier 10,Cables,UAE,Yara,2026-06-08,2026-07-08,2026-07-11,34,34,107.76,102.51,0
PO-0131,SUP-011,Supplier 11,Lighting,Lebanon,Omar,2026-02-03,2026-02-28,2026-03-03,67,67,16.39,16.25,0
PO-0132,SUP-012,Supplier 12,Electrical,Italy,Lea,2026-03-13,2026-04-23,2026-04-23,75,75,93.23,92.98,0
PO-0133,SUP-013,Supplier 13,Controls,Turkey,Yara,2026-05-13,2026-06-19,2026-06-14,282,282,128.65,124.54,0
PO-0134,SUP-014,Supplier 14,Fixtures,China,Omar,2026-05-30,2026-07-05,2026-07-19,345,345,206.13,200.37,0
PO-0135,SUP-015,Supplier 15,Cables,UAE,Lea,2026-04-01,2026-04-16,2026-04-09,477,477,115.31,110.32,5
PO-0136,SUP-016,Supplier 16,Lighting,Lebanon,Yara,2026-04-13,2026-05-02,2026-05-12,434,434,43.15,39.61,20
PO-0137,SUP-017,Supplier 17,Electrical,Italy,Omar,2026-06-06,2026-07-21,2026-07-22,307,307,197.77,188.44,0
PO-0138,SUP-018,Supplier 18,Controls,Turkey,Lea,2026-02-11,2026-03-25,2026-03-22,225,225,46.6,46.16,0
PO-0139,SUP-019,Supplier 19,Fixtures,China,Yara,2026-02-16,2026-03-13,2026-03-08,279,279,68.41,63.43,0
PO-0140,SUP-020,Supplier 20,Cables,UAE,Omar,2026-03-02,2026-03-26,2026-03-30,137,137,143.34,131.63,0
PO-0141,SUP-001,Supplier 01,Lighting,Lebanon,Lea,2026-05-04,2026-06-21,2026-07-11,315,315,115.01,103.71,0
PO-0142,SUP-002,Supplier 02,Electrical,Italy,Yara,2026-05-11,2026-06-14,2026-06-09,209,209,114.07,119.73,9
PO-0143,SUP-003,Supplier 03,Controls,Turkey,Omar,2026-02-08,2026-02-27,2026-02-28,376,376,90.86,95.24,3
PO-0144,SUP-004,Supplier 04,Fixtures,China,Lea,2026-05-24,2026-06-25,2026-06-28,200,200,88.27,88.62,0
PO-0145,SUP-005,Supplier 05,Cables,UAE,Yara,2026-03-24,2026-04-27,2026-04-24,318,286,72.03,73.63,0
PO-0146,SUP-006,Supplier 06,Lighting,Lebanon,Omar,2026-05-07,2026-05-26,2026-06-02,394,394,196.63,208.79,0
PO-0147,SUP-007,Supplier 07,Electrical,Italy,Lea,2026-03-01,2026-03-27,2026-03-27,391,391,10.5,9.61,0
PO-0148,SUP-008,Supplier 08,Controls,Turkey,Yara,2026-06-07,2026-07-23,2026-08-05,340,340,147.08,147.26,4
PO-0149,SUP-009,Supplier 09,Fixtures,China,Omar,2026-05-23,2026-06-16,2026-06-20,373,326,16.66,15.72,0
PO-0150,SUP-010,Supplier 10,Cables,UAE,Lea,2026-01-20,2026-02-02,2026-01-27,387,387,24.66,25.28,0
PO-0151,SUP-011,Supplier 11,Lighting,Lebanon,Yara,2026-05-24,2026-06-16,2026-06-28,299,299,151.88,162.97,0
PO-0152,SUP-012,Supplier 12,Electrical,Italy,Omar,2026-05-19,2026-05-31,2026-06-03,197,197,125.67,122.4,8
PO-0153,SUP-013,Supplier 13,Controls,Turkey,Lea,2026-03-24,2026-04-24,2026-04-28,452,452,43.13,44.16,0
PO-0154,SUP-014,Supplier 14,Fixtures,China,Yara,2026-02-07,2026-03-01,2026-02-27,421,421,187.44,194.64,0
PO-0155,SUP-015,Supplier 15,Cables,UAE,Omar,2026-04-30,2026-06-13,2026-06-29,196,196,19.93,20.8,5
PO-0156,SUP-016,Supplier 16,Lighting,Lebanon,Lea,2026-03-19,2026-04-20,2026-04-30,156,154,190.18,181.79,5
PO-0157,SUP-017,Supplier 17,Electrical,Italy,Yara,2026-04-04,2026-05-02,2026-04-28,358,358,126.81,117.46,0
PO-0158,SUP-018,Supplier 18,Controls,Turkey,Omar,2026-02-10,2026-03-01,2026-03-02,315,315,121.77,122.62,0
PO-0159,SUP-019,Supplier 19,Fixtures,China,Lea,2026-02-07,2026-03-09,2026-03-11,85,85,78.03,76.98,0
PO-0160,SUP-020,Supplier 20,Cables,UAE,Yara,2026-04-16,2026-05-17,2026-05-21,50,50,174.96,183.44,0
PO-0161,SUP-001,Supplier 01,Lighting,Lebanon,Omar,2026-01-19,2026-02-06,2026-02-10,402,402,176.77,189.9,1
PO-0162,SUP-002,Supplier 02,Electrical,Italy,Lea,2026-05-16,2026-06-27,2026-07-07,175,175,110.88,111.02,2
PO-0163,SUP-003,Supplier 03,Controls,Turkey,Yara,2026-01-20,2026-02-26,2026-02-24,26,26,217.1,209.54,0
PO-0164,SUP-004,Supplier 04,Fixtures,China,Omar,2026-03-15,2026-04-02,2026-03-27,352,352,91.13,91.26,20
PO-0165,SUP-005,Supplier 05,Cables,UAE,Lea,2026-04-04,2026-05-11,2026-05-08,359,359,217.56,203.85,0
PO-0166,SUP-006,Supplier 06,Lighting,Lebanon,Yara,2026-01-28,2026-02-16,2026-02-21,386,332,21.36,19.8,1
PO-0167,SUP-007,Supplier 07,Electrical,Italy,Omar,2026-02-19,2026-04-01,2026-04-06,80,80,64.87,58.85,4
PO-0168,SUP-008,Supplier 08,Controls,Turkey,Lea,2026-02-21,2026-04-04,2026-03-30,344,344,173.81,169.7,0
PO-0169,SUP-009,Supplier 09,Fixtures,China,Yara,2026-02-26,2026-03-22,2026-04-10,364,364,244.5,226.37,0
PO-0170,SUP-010,Supplier 10,Cables,UAE,Omar,2026-01-09,2026-02-27,2026-02-27,246,246,54.49,52,0
PO-0171,SUP-011,Supplier 11,Lighting,Lebanon,Lea,2026-01-20,2026-02-28,2026-03-07,320,320,70.7,64.72,15
PO-0172,SUP-012,Supplier 12,Electrical,Italy,Yara,2026-05-08,2026-05-27,2026-05-25,172,172,225.29,210.94,0
PO-0173,SUP-013,Supplier 13,Controls,Turkey,Omar,2026-01-27,2026-03-14,2026-03-15,364,364,239.31,217.02,0
PO-0174,SUP-014,Supplier 14,Fixtures,China,Lea,2026-02-26,2026-03-25,2026-03-23,270,270,85.27,83.42,0
PO-0175,SUP-015,Supplier 15,Cables,UAE,Yara,2026-03-21,2026-05-04,2026-05-04,273,262,158.29,147.76,8
PO-0176,SUP-016,Supplier 16,Lighting,Lebanon,Omar,2026-01-04,2026-02-14,2026-02-27,165,165,62.73,63.91,5
PO-0177,SUP-017,Supplier 17,Electrical,Italy,Lea,2026-06-10,2026-07-22,2026-07-15,357,357,166.25,177.48,0
PO-0178,SUP-018,Supplier 18,Controls,Turkey,Yara,2026-01-08,2026-01-31,2026-01-30,107,107,224.46,224.79,0
PO-0179,SUP-019,Supplier 19,Fixtures,China,Omar,2026-03-31,2026-04-12,2026-04-08,255,255,99.51,100.34,0
PO-0180,SUP-020,Supplier 20,Cables,UAE,Lea,2026-02-01,2026-02-13,2026-02-08,433,433,211.68,226.35,0
PO-0181,SUP-001,Supplier 01,Lighting,Lebanon,Yara,2026-05-08,2026-06-13,2026-06-18,38,38,99.31,94.53,0
PO-0182,SUP-002,Supplier 02,Electrical,Italy,Omar,2026-01-20,2026-02-20,2026-02-18,171,169,56.64,54.43,0
PO-0183,SUP-003,Supplier 03,Controls,Turkey,Lea,2026-02-01,2026-03-21,2026-04-04,102,102,83.01,78.69,0
PO-0184,SUP-004,Supplier 04,Fixtures,China,Yara,2026-03-25,2026-05-06,2026-05-03,491,491,184.95,184.4,0
PO-0185,SUP-005,Supplier 05,Cables,UAE,Omar,2026-02-08,2026-03-05,2026-02-28,415,415,185.16,173.16,0
PO-0186,SUP-006,Supplier 06,Lighting,Lebanon,Lea,2026-02-15,2026-03-13,2026-03-15,369,369,166.97,174.82,19
PO-0187,SUP-007,Supplier 07,Electrical,Italy,Yara,2026-03-14,2026-04-30,2026-04-25,351,351,201.58,188.56,0
PO-0188,SUP-008,Supplier 08,Controls,Turkey,Omar,2026-03-13,2026-04-01,2026-03-30,157,157,36.77,33.2,0
PO-0189,SUP-009,Supplier 09,Fixtures,China,Lea,2026-02-26,2026-03-23,2026-03-26,261,261,188.6,171.38,0
PO-0190,SUP-010,Supplier 10,Cables,UAE,Yara,2026-01-17,2026-03-02,2026-03-12,336,336,168.95,174.65,0
PO-0191,SUP-011,Supplier 11,Lighting,Lebanon,Omar,2026-03-22,2026-04-28,2026-05-12,50,46,216.98,222.16,0
PO-0192,SUP-012,Supplier 12,Electrical,Italy,Lea,2026-04-25,2026-05-24,2026-05-22,239,220,12.05,12.12,5
PO-0193,SUP-013,Supplier 13,Controls,Turkey,Yara,2026-05-17,2026-06-22,2026-06-19,489,489,13.89,14.39,20
PO-0194,SUP-014,Supplier 14,Fixtures,China,Omar,2026-05-29,2026-07-16,2026-07-18,357,357,167.05,153.08,0
PO-0195,SUP-015,Supplier 15,Cables,UAE,Lea,2026-01-27,2026-02-23,2026-02-21,131,131,209.47,209.73,0
PO-0196,SUP-016,Supplier 16,Lighting,Lebanon,Yara,2026-04-16,2026-05-17,2026-05-28,407,407,30.31,27.47,0
PO-0197,SUP-017,Supplier 17,Electrical,Italy,Omar,2026-05-20,2026-06-26,2026-07-05,115,115,61.74,61.13,0
PO-0198,SUP-018,Supplier 18,Controls,Turkey,Lea,2026-02-18,2026-03-03,2026-03-04,344,344,173.78,171.16,0
PO-0199,SUP-019,Supplier 19,Fixtures,China,Yara,2026-05-15,2026-05-31,2026-06-05,79,71,63.29,61.21,1
PO-0200,SUP-020,Supplier 20,Cables,UAE,Omar,2026-03-18,2026-05-04,2026-05-05,253,253,97.98,94.66,13
PO-0201,SUP-001,Supplier 01,Lighting,Lebanon,Lea,2026-01-22,2026-02-21,2026-02-28,357,357,109.74,109.65,0
PO-0202,SUP-002,Supplier 02,Electrical,Italy,Yara,2026-05-04,2026-05-25,2026-05-20,476,449,105.89,113.69,0
PO-0203,SUP-003,Supplier 03,Controls,Turkey,Omar,2026-01-28,2026-03-08,2026-03-04,235,235,160.48,152.09,0
PO-0204,SUP-004,Supplier 04,Fixtures,China,Lea,2026-03-12,2026-04-14,2026-05-02,72,65,115.78,111.53,0
PO-0205,SUP-005,Supplier 05,Cables,UAE,Yara,2026-02-15,2026-03-13,2026-03-06,279,279,100.76,98.19,0
PO-0206,SUP-006,Supplier 06,Lighting,Lebanon,Omar,2026-01-22,2026-02-19,2026-03-04,122,108,63.31,61.74,0
